,ID ANUNCIIO,ID SCRAPE,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,TIPO DE PROPIEDAD,TIPO DE CUARTO,AMENIDADES,PRECIO,TIENE DISPONIBILIDAD,RESERVA INSTANTANEA
1169,53276367,20241229042300,1,3,46.18598,6.13837,2,1.2,1.0,1.6,4,15,4,4,15,15,4.0,15.0,0,0,0,4,12,9,1,5.0,5.0,4.92,4.75,4.92,5.0,4.75,1,1,0,0,0.33,previous scrape,Matthias,2011-10-27,within a day,67%,50%,f,Entire rental unit,Entire home/apt,"[""Freezer"", ""Stove"", ""Laundromat nearby"", ""Washer"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""HDTV with Netflix"", ""Dedicated workspace"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Oven"", ""Toaster"", ""Refrigerator"", ""Heating"", ""Cleaning products"", ""Cooking basics"", ""Hot water"", ""Wifi"", ""Self check-in""]",,t,f
1170,53309988,20241229042300,1,1,46.20416,6.15678,2,1.5,2.0,1.0,3,31,4,4,1125,1125,4.0,1125.0,30,60,90,180,14,4,1,5.0,4.86,4.93,5.0,5.0,5.0,4.93,1,0,1,0,0.37,city scrape,Antonio,2021-11-12,within an hour,100%,20%,f,Private room in rental unit,Private room,"[""Hair dryer"", ""Bathtub"", ""Freezer"", ""Portable air conditioning"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Smoking allowed"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Ceiling fan"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Stainless steel oven"", ""Children\u2019s dinnerware"", ""Outdoor dining area"", ""Refrigerator"", ""Microwave"", ""Heating"", ""Extra pillows and blankets"", ""Cooking basics"", ""Hot water"", ""Bread maker"", ""Wifi"", ""Room-darkening shades""]",$77.00,t,f
1171,53355505,20241229042300,1,1,46.29781,6.24395,2,1.0,1.0,0.0,30,365,30,30,365,365,30.0,365.0,2,3,3,129,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.03,city scrape,Laurence,2014-07-16,,,,f,Entire loft,Entire home/apt,"[""Dryer"", ""Washer"", ""Outdoor dining area"", ""Wifi"", ""Kitchen""]",$150.00,t,f
1172,53359598,20241229042300,1,3,46.28491,6.164,1,1.0,1.0,1.0,14,60,14,14,60,60,14.0,60.0,11,30,60,60,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.08,city scrape,Vagram,2015-01-08,within an hour,100%,33%,f,Entire rental unit,Entire home/apt,"[""Kitchen"", ""TV"", ""Dedicated workspace"", ""Dishes and silverware"", ""Patio or balcony""]",$50.00,t,f
1173,53360005,20241229042300,4,5,46.21455,6.14943,2,1.0,0.0,1.0,4,90,2,4,1125,1125,3.9,1125.0,17,47,49,49,10,4,1,5.0,5.0,4.8,4.9,5.0,4.8,4.6,1,1,0,0,0.34,city scrape,Pascale Vanessa,2012-03-14,within an hour,100%,100%,t,Entire rental unit,Entire home/apt,"[""Paid parking garage off premises"", ""Hair dryer"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Long term stays allowed"", ""Waterfront"", ""Hot water kettle"", ""Lake access"", ""Bathtub"", ""Freezer"", ""Books and reading material"", ""Paid resort access"", ""Laundromat nearby"", ""Wine glasses"", ""Private entrance"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""TV with Netflix"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Shower gel"", ""Coffee maker: Nespresso"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Iron"", ""Fast wifi \u2013 89 Mbps"", ""Oven"", ""Toaster"", ""Body soap"", ""Outdoor playground"", ""Clothing storage: closet, wardrobe, and dresser"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Cleaning products"", ""Extra pillows and blankets"", ""Mini fridge"", ""Cooking basics"", ""Hot water"", ""Beach access \u2013 Beachfront"", ""Room-darkening shades""]",$92.00,t,f
1174,53424207,20241229042300,1,1,46.1935,6.14156,2,1.2,1.0,1.6,2,365,2,2,365,365,2.0,365.0,0,0,0,0,0,0,0,4.7,4.8,4.7,4.8,4.8,4.8,4.6,1,1,0,0,1.0,previous scrape,Kelly,2014-04-13,,,,f,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Conditioner"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Laundromat nearby"", ""Wine glasses"", ""Trash compactor"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Shower gel"", ""Coffee maker: Nespresso"", ""Coffee"", ""Clothing storage: closet and wardrobe"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Iron"", ""Drying rack for clothing"", ""Stainless steel oven"", ""Electric stove"", ""Body soap"", ""Exercise equipment: yoga mat"", ""Refrigerator"", ""Shared beach access"", ""Pocket wifi"", ""Cleaning products"", ""Extra pillows and blankets"", ""Mini fridge"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Room-darkening shades"", ""Outdoor shower""]",,t,f
1175,53424909,20241229042300,1,1,46.18549,6.09773,5,1.2,4.0,1.6,7,28,7,7,28,28,7.0,28.0,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.03,previous scrape,Chris,2011-06-11,,,,f,Entire villa,Entire home/apt,"[""Long term stays allowed"", ""Hot water kettle"", ""120 inch HDTV with Netflix, standard cable"", ""Bathtub"", ""Freezer"", ""Books and reading material"", ""Barbecue utensils"", ""Free carport on premises \u2013 2 spaces"", ""Piano"", ""Wine glasses"", ""BBQ grill"", ""Private entrance"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Babysitter recommendations"", ""Free washer \u2013 In unit"", ""Essentials"", ""Bosch oven"", ""Pets allowed"", ""Dining table"", ""Sonos Home System sound system"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Bed linens"", ""Hangers"", ""Iron"", ""Drying rack for clothing"", ""Fire pit"", ""Children\u2019s books and toys for ages 2-5 years old, 5-10 years old, and 10+ years old"", ""Induction stove"", ""Game console: PS4"", ""Smoke alarm"", ""Toaster"", ""Clothing storage: walk-in closet, wardrobe, and dresser"", ""Outdoor dining area"", ""Hammock"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Cleaning products"", ""Extra pillows and blankets"", ""Cooking basics"", ""Cleaning available during stay"", ""Wifi"", ""Blender"", ""Room-darkening shades""]",,t,f
1176,53455426,20241229042300,1,1,46.19369,6.20213,2,1.0,1.0,1.0,3,365,3,3,365,365,3.0,365.0,29,59,89,89,15,0,0,5.0,5.0,5.0,4.8,4.87,4.8,4.93,1,1,0,0,0.41,city scrape,Robson,2018-07-06,a few days or more,0%,0%,f,Entire rental unit,Entire home/apt,"[""Free washer \u2013 In unit"", ""Refrigerator"", ""Coffee maker"", ""Heating"", ""Dryer"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""High chair""]",$96.00,t,f
1177,53455734,20241229042300,1,1,46.21441,6.13526,3,1.2,1.0,1.6,3,29,3,3,1125,1125,3.0,1125.0,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.05,previous scrape,Andreas,2016-10-31,,,50%,f,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Hot water kettle"", ""Freezer"", ""Stove"", ""Washer"", ""Wine glasses"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Smoking allowed"", ""Free dryer"", ""Essentials"", ""Elevator"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Rice maker"", ""Bed linens"", ""Iron"", ""Drying rack for clothing"", ""Stainless steel oven"", ""Toaster"", ""Body soap"", ""Outdoor dining area"", ""Paid street parking off premises"", ""Free parking on premises"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Cleaning products"", ""Extra pillows and blankets"", ""Cooking basics"", ""Hot water"", ""TV"", ""Shampoo"", ""Bidet"", ""Room-darkening shades"", ""Coffee maker: espresso machine""]",,t,t
1178,53468416,20241229042300,3,3,46.21554,6.13175,2,1.0,1.0,1.0,1,365,1,1,365,365,1.0,365.0,10,10,10,191,15,3,0,4.8,4.73,4.67,4.73,4.4,4.93,4.8,2,0,2,0,0.41,city scrape,Muaka,2021-11-20,within a day,60%,42%,f,Private room in rental unit,Private room,"[""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Books and reading material"", ""Washer"", ""Wine glasses"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Elevator"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Rice maker"", ""Bed linens"", ""Hangers"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Stainless steel oven"", ""Paid street parking off premises"", ""Lock on bedroom door"", ""Refrigerator"", ""Dishwasher"", ""Free street parking"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Stainless steel stove"", ""Paid parking on premises"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""TV"", ""Cleaning available during stay"", ""Wifi"", ""Room-darkening shades""]",$75.00,t,f
